categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
LEGUMINEUSES,Lentille blonde,110.0,9.7,16.3,0.4,0.7,0.13,6.0,0.13,20586,0.30658286,CA
LEGUMINEUSES,Lentille corail,154.0,10.6,15.0,0.26,0.5,0.09,8.2,0.13,20535,0.30658286,CA
OEUFS,Jaune d'oeuf cru,307.0,15.5,1.09,0.56,26.7,8.47,0.0,0.048,22002,2.6433423,FR
OEUFS,Jaune d'oeuf cuit,307.0,15.5,1.09,0.56,26.7,8.47,0.0,0.048,22009,2.6433423,FR
OEUFS,Blanc d'oeuf cru,48.1,10.8,0.85,0.71,0.19,0.0,0.0,0.42,22001,2.6436811,FR
OEUFS,Blanc d'oeuf cuit,48.1,10.8,0.85,0.71,0.19,0.0,0.0,0.42,22008,2.6436811,FR
OEUFS,Oeuf cru,140.0,12.7,0.27,0.27,9.83,2.64,0.0,0.31,22000,2.4091714,FR
OEUFS,Oeuf cuit,140.0,12.7,0.27,0.27,9.83,2.64,0.0,0.31,22010,2.4091714,FR
OLEAGINEUX,Amande,634.0,18.8,9.51,4.2,51.3,4.11,12.5,0.013,15000,5.7604477,ES
OLEAGINEUX,Cacahuète,567.0,22.8,14.8,5.9,49.1,8.4,8.6,0.022,15001,4.6807594,CN
OLEAGINEUX,Noisette,628.0,14.4,7.16,4.9,56.9,4.75,11.6,0.013,15004,4.5110394,TR
OLEAGINEUX,Cerneaux de noix,654.0,13.3,6.88,3.0,67.3,6.45,6.7,0.13,15005,3.7882976,FR
OLEAGINEUX,Noix de coco,354.0,3.33,6.22,6.22,33.5,29.7,9.0,0.05,15006,2.9406896,ID
OLEAGINEUX,Noix du Brésil,705.0,14.8,6.17,2.33,66.1,16.0,6.4,0.0075,15008,7.7823328,BO
OLEAGINEUX,Pistache grillée,617.0,18.9,15.9,7.57,49.5,6.58,9.32,1.67,15044,7.9422601,IR
OLEAGINEUX,Noix de cajou grillée,631.0,15.2,26.7,8.01,49.5,10.5,3.85,1.15,15019,8.4459937,CI
OLEAGINEUX,Pignon de pin,695.0,13.7,6.31,5.21,65.0,5.53,10.0,0.023,15025,4.6807594,ES
OLEAGINEUX,Noix de pécan,739.0,9.57,5.43,3.64,72.6,6.62,8.33,0.0025,15026,3.0487662,US
OLEAGINEUX,Noix de macadamia,734.0,7.91,5.22,4.24,75.8,11.8,8.6,0.013,15027,3.0487662,AU
OLEAGINEUX,Noisette grillée,683.0,14.4,5.21,4.26,66.0,4.51,9.4,0.0,15033,4.7855606,TR
OLEAGINEUX,Noix de pécan salées,739.0,10.2,5.0,4.9,73.0,7.1,3.0,1.0,15046,3.0487662,US
OLEAGINEUX,Beurre de cacahuète,586.0,22.2,16.1,10.5,52.5,10.4,5.0,0.97,15202,3.3144125,CN
OLEAGINEUX,Tahin,595.0,17.7,13.8,0.49,53.4,7.48,7.0,0.19,15203,3.0355597,ES
POISSONS,Cabillaud,94.6,22.3,0.0,0.0,0.6,0.13,0.0,0.23,26043,10.967059,NO
POISSONS,Saumon fumé,178.0,22.0,0.91,0.0,9.49,2.06,0.25,3.51,26037,4.9472469,NO
POISSONS,Saumon,195.0,23.0,0.0,0.0,11.5,2.39,0.0,0.13,26038,6.1313111,NO
POISSONS,Thon,136.0,29.9,0.0,0.0,1.83,0.9,0.0,0.14,26041,5.3891519,ES
POISSONS,Truite,183.0,26.6,0.0,0.0,8.47,1.47,0.0,0.17,27006,6.9316279,FR
POISSONS,Truite fumée,180.0,23.4,0.69,0.0,9.27,1.71,0.0,3.18,27029,5.6026758,FR
POISSONS,Crevette,93.8,19.0,1.87,0.25,1.16,0.31,0.0,1.35,10021,7.0588478,EC
POISSONS,Calamar,149.0,32.5,1.64,0.0,1.4,0.24,0.0,1.86,10037,6.6140676,ES
POISSONS,Thon en boite,111.0,26.8,0.0,0.0,0.4,0.086,0.0,0.74,26039,7.2936483,ES
POISSONS,Surimi,125.0,8.31,11.8,2.1,4.92,0.46,0.33,1.58,26046,1.5339566,FR
